"1. 튜링 테스트의 주요 목적은? ① 인간처럼 학습 ② 인간과 구별되지 않는 행동 평가 ③ 감정 표현 판단 ④ 창의성 확인","정답: ②<br>해설: 튜링 테스트는 기계가 대화에서 인간과 구별되지 않는지(행동 기준) 평가한다."
"12. 불쾌한 골짜기 이론과 대표 사례 2가지를 제시하시오.","모범 요점:<br>이론: 인간 유사성이 증가하다가 특정 구간에서 호감이 급락.<br>사례1: 과도하게 사실적인 CG 인물에서의 이질감(예: 일부 모션캡처 영화 캐릭터).<br>사례2: 인간형/동물형 로봇의 부자연스러운 움직임에 대한 거부감 반응."
"13. 사회적 문제 사례 1개와 해결 방안을 제시하시오.","예시 답안:<br>문제: 온라인 평가/대회에서 생성형 AI 무단 사용으로 공정성 저해.<br>대응: 규정 명문화, 로그 기반 사후 검증, 구술·오프라인 평가 병행, 과정 중심 평가 확대.<br>해설: 기술 탐지 단독보다 평가 설계 자체를 바꾸는 접근이 효과적이다."
"14. LLM이 텍스트 생성에서 강한 이유를 설명하시오.","정답 요점:<br>대규모 말뭉치 사전학습 + 문맥 기반 다음 토큰 예측 + 전이학습/미세조정으로 일반화 성능이 높다.<br>해설: 파라미터 규모, 데이터 규모, 계산량의 스케일링 법칙이 성능 향상을 뒷받침한다."
"15. ChatGPT를 활용해 소셜 미디어 게시물 3개를 생성하라는 과제의 핵심 평가 포인트는?","정답 요점:<br>• 프롬프트 적합성(목적·대상·톤)<br>• 사실성 검증(시사/수치 주장 교차검증)<br>• 플랫폼 맞춤 길이와 후킹 문장<br>• 과장·허위·저작권/윤리 이슈 점검<br>해설: 단순 생성보다 검증과 편집 품질이 핵심이다."
"16. (실습) 3개 게시물 생성 결과를 점검할 때 무엇을 확인해야 하는가?","체크리스트:<br>1) 사실오류/환각 여부<br>2) 출처 명시 가능성<br>3) 문체 일관성<br>4) 법적·윤리적 위험(허위정보/명예훼손/저작권)<br>5) 독자 행동 유도 CTA 유무"
"1. 생성형 AI 정의로 옳은 것은? ① 요약 기술 ② 대규모 학습으로 새 콘텐츠 생성 ③ 명령어 기반 예측모델 생성 ④ 텍스트 분류/오류 제거","정답: ②<br>해설: 생성형 AI는 학습 분포를 바탕으로 새로운 샘플(텍스트/이미지 등)을 만든다."
"2. GAN의 구성 요소는? ① 인코더/디코더 ② 생성자/판별자 ③ 입력/출력 레이어 ④ 트랜스포머/LSTM","정답: ②<br>해설: 생성자(G)와 판별자(D)가 적대적으로 학습한다."
"3. DALL·E 응용 분야가 아닌 것은? ① 광고디자인 ② 게임캐릭터 생성 ③ 데이터 암호화 ④ 디지털 아트","정답: ③<br>해설: 데이터 암호화는 이미지 생성형 AI의 대표 응용이 아니다."
"4. ChatGPT의 교육 분야 활용으로 가장 적절한 것은? ① 성적예측 ② 알고리즘 설계도구 ③ 에세이/문제풀이 지원 ④ 실시간 수업 진행","정답: ③<br>해설: 질의응답, 글쓰기 지원, 개념 설명 등 학습 보조에 강점이 있다."
"5. LLM이 텍스트 생성에 강한 이유는? ① 이미지 학습 활용 ② 제한 데이터 학습 ③ 대량 텍스트 학습과 문맥 반영 ④ 분류알고리즘 중심","정답: ③<br>해설: 대규모 언어 패턴 학습으로 문맥 일관성을 높인다."
"6. 생성형 AI 발전의 사회문제로 가장 적절한 것은? ① 데이터 비용 증가 ② 상업적 활용 제한 ③ 딥페이크 허위정보 ④ 생산성 저하","정답: ③<br>해설: 허위 영상/음성 생성은 신뢰 붕괴와 피해를 유발한다."
"7. DALL·E와 MidJourney 공통 기능은? ① 텍스트 생성 ② 텍스트 프롬프트 기반 이미지 생성 ③ 번역 제공 ④ 게임 동영상 자동 생성","정답: ②<br>해설: 텍스트-투-이미지 생성이 핵심 공통점이다."
"8. 생성형 AI와 전통적 AI의 차이를 설명하시오.","모범 요점:<br>생성형 AI: 데이터 분포를 학습해 새 콘텐츠를 생성.<br>전통적 AI: 분류/예측/의사결정 중심(기존 레이블·규칙 기반 처리).<br>해설: 핵심 차이는 출력 형태(새로운 생성물 vs 기존 범주 판단)다."
"9. 생성형 AI 활용 산업 3가지와 역할을 설명하시오.","예시 정답:<br>교육: 맞춤 설명, 과제 초안, 질의응답.<br>광고/마케팅: 카피·배너·시안 자동 생성.<br>엔터테인먼트: 콘셉트 아트, 시나리오/대사 초안, 음성 합성.<br>해설: 공통 효과는 제작 속도 향상과 아이디어 탐색 비용 절감."
"10. GAN의 작동 원리와 생성자/판별자 역할을 비교하시오.","정답 요약:<br>GAN은 G가 가짜 데이터를 만들고 D가 진짜/가짜를 구분하며 경쟁 학습한다.<br>생성자: 판별자를 속이도록 샘플 품질 향상.<br>판별자: 위조를 식별하도록 경계 학습.<br>결과: 반복 경쟁으로 사실적인 생성물 품질이 상승한다."
"11. 이미지 생성형 AI가 광고 제작에 어떻게 활용되는지 예시를 쓰시오.","모범 답안:<br>프롬프트로 분위기·타깃·색감을 지정해 다수 시안을 빠르게 생성하고, 이를 포스터/SNS 소재로 변환한다.<br>예: 여름 음료 캠페인에서 청량 배경·제품 중심 시안 다변화."
"12. ChatGPT 같은 텍스트 생성형 AI의 교육 활용을 설명하시오.","모범 답안:<br>학생: 개념 설명, 작문 피드백, 단계별 문제풀이.<br>교사: 퀴즈/수업자료 초안, 토론 주제 생성, 행정 보조.<br>주의: 사실검증과 표절/의존 관리가 필요하다."
"13. 비디오 생성형 AI의 주요 기능과 영화/게임 활용 가능성을 쓰시오.","정답 요점:<br>기능: 텍스트→영상 생성, 이미지 애니메이션화, 편집/스타일 변환, 자동 더빙·자막 결합.<br>영화: 프리비즈, 장면 콘셉트, VFX 초안.<br>게임: 컷신/NPC 애니메이션, 분기형 동적 콘텐츠 제작."
"14. 생성형 AI의 사회·윤리 문제 사례와 해결 방안을 논의하시오.","예시 정답:<br>사례: 평가/대회 부정행위, 허위정보 생성, 저작권 침해.<br>해결: 사용 가이드라인, 출처표시/로그 제출, 평가 방식 개선(구술·과정평가), 탐지 도구 보조 활용.<br>해설: 단속만으로는 한계가 있어 제도+교육+기술의 병행이 필요하다."
"15. LLM 기반 생성형 AI가 텍스트 생성에서 성능이 높은 이유를 설명하시오.","정답 요약:<br>대규모 데이터 사전학습, 트랜스포머 기반 장거리 문맥 처리, 미세조정/RLHF로 사용성 향상.<br>해설: 스케일이 커질수록 언어적 패턴 일반화 능력이 증가한다."
"16. ChatGPT로 소셜 미디어 게시물 3개를 만들 때 품질 평가 기준은?","정답:<br>정확성, 타깃 독자 적합성, 플랫폼 길이 최적화, 후킹/CTA, 법·윤리 점검(허위·저작권), 톤 일관성."
"1. 빅데이터를 정의하고 3가지 특성(3V)을 설명하시오.","정답: 빅데이터는 전통적 처리 방식으로 다루기 어려운 대규모·고복잡 데이터.<br>3V: Volume(규모), Variety(다양성), Velocity(속도).<br>해설: 확장 개념으로 Veracity/Value를 더해 5V로도 설명한다."
"2. 정형·반정형·비정형 데이터를 설명하시오.","정형: 고정 스키마(표/관계형 DB).<br>반정형: 완전 고정 스키마는 아니지만 구조/태그 존재(JSON/XML).<br>비정형: 고정 구조 없음(텍스트, 이미지, 영상 등).<br>해설: 구조가 느슨할수록 저장·분석 전략이 달라진다."
"3. 정형 데이터 분석 기법인 기술통계 분석, 데이터마이닝을 약술하시오.","기술통계: 평균/분산/빈도 등으로 데이터 특성을 요약.<br>데이터마이닝: 대규모 데이터에서 패턴·규칙을 찾아 예측/의사결정에 활용(분류, 군집, 연관규칙 등)."
"4. 비정형 데이터 분석 기법인 텍스트마이닝, 오피니언마이닝, 소셜네트워크분석을 약술하시오.","텍스트마이닝: 텍스트에서 정보 추출.<br>오피니언마이닝: 감정/의견 극성 분석.<br>소셜네트워크분석: 노드-엣지 관계로 중심성·영향력·커뮤니티 분석."
"5. 정보 시각화, 과학적 시각화, 인포그래픽을 설명하시오.","정보 시각화: 복잡한 정보를 도표로 이해 쉽게 표현.<br>과학적 시각화: 실험/관측의 수치 현상을 물리·공간적으로 표현.<br>인포그래픽: 정보 전달 목적의 디자인 결합 시각화."
"6. 빅데이터 분석 인프라 기술인 하둡을 설명하시오.","정답: 분산 저장(HDFS)과 분산 처리(MapReduce 생태계)를 위한 오픈소스 플랫폼.<br>해설: 대용량 데이터를 여러 노드에 나눠 저장/처리해 확장성과 장애 내성을 확보한다."
"7. 빅데이터 분석 인프라 기술인 R을 설명하시오.","정답: 통계 계산·시각화에 특화된 오픈소스 언어/환경.<br>해설: 패키지 생태계(CRAN)가 강력해 데이터 분석·모델링·리포팅에 널리 쓰인다."
"8. NoSQL을 설명하시오.","정답: 관계형 SQL만으로 제한하지 않고 다양한 데이터 모델(문서, 키-값, 컬럼, 그래프)을 사용하는 DB 계열.<br>해설: 수평 확장과 유연 스키마에 강점이 있으나 트랜잭션·조인 전략은 제품별 차이가 크다."
"9. R의 탄생 및 발전 과정을 설명하시오.","정답 요점: S 언어 계보를 바탕으로 1990년대 초 개발, 이후 오픈소스로 성장.<br>해설: CRAN 중심의 패키지 문화가 발전 동력을 제공했다."
"10. R의 특징을 설명하시오.","정답 요점:<br>1) 오픈소스<br>2) 통계 분석 함수 풍부<br>3) 시각화 강력<br>4) 패키지 확장성 큼<br>5) 인터랙티브 분석에 적합"
"1. setwd('C:/WORK_R')와 getwd()를 설명하시오.","정답: setwd는 작업 디렉터리 변경, getwd는 현재 작업 디렉터리 확인.<br>해설: 파일 입출력의 상대경로 기준점이 작업 디렉터리다."
"2. R 패키지를 설명하고 설치 시 유의점을 쓰시오.","정답 요점:<br>패키지는 함수/데이터/문서를 묶은 재사용 단위(CRAN 배포).<br>유의점: 의존성 충돌, R 버전 호환성, 비공식 배포처 신뢰성 검증."
"3. 1부터 999까지 합의 제곱근을 구하시오.","정답: 약 706.7531<br>해설: sum(1:999)=499500, sqrt(499500)=706.7531."
"4. R 자료구조 6가지(벡터/행렬/배열/데이터프레임/리스트/요인)를 설명하시오.","정답 요약:<br>벡터: 같은 타입 1차원<br>행렬: 같은 타입 2차원<br>배열: 같은 타입 다차원<br>데이터프레임: 열별 타입 허용 표 구조<br>리스트: 서로 다른 타입/구조 포함 가능<br>요인(factor): 범주형 데이터 표현용 특수 벡터"
"5. a <- c(1,2,0.5,3,7,-2,10) 에서 두 번째 원소를 구하는 명령은?","정답: a[2]<br>해설: R 인덱스는 1부터 시작한다."
"6. 54,39.6,51.6,52.8,51.6,52.8,54,52.8,16.8,52.8,52.8,54의 합계/평균/표준편차/최솟값/최댓값","정답: 합계 585.6, 평균 48.8, 표준편차 10.8101, 최솟값 16.8, 최댓값 54"
"7. x <- c(1,2,3,4,5,6,7,8,9)를 아래 형태 행렬 y로 바꾸는 명령은? (1열 1,2,3 / 2열 4,5,6 / 3열 7,8,9)","정답: y <- matrix(x, nrow=3)<br>해설: R matrix는 열 우선(column-major)으로 채운다."
"8. x,y,z 벡터로 df를 생성하시오. (x=1:4, y=red/white/blue/yellow, z=TRUE/TRUE/TRUE/FALSE)","정답: df <- data.frame(x=_x, y=_y, z=_z)<br>해설: 열 길이가 동일해야 데이터프레임 생성 가능."
"9. df의 x열 평균과 합계를 구하시오.","정답: 평균 2.5, 합계 10<br>해설: mean(df$x), sum(df$x)."
"10. df 열 이름을 숫자/색상/논릿값으로 변경하시오.","정답: colnames(df) <- c('숫자','색상','논릿값')"
"1. R에서 실수 나눗셈, 몫, 나머지 연산자를 예시와 함께 설명하시오.","정답: / (실수 나눗셈), %/% (몫), %% (나머지).<br>예: 10/3=3.333..., 10%/%3=3, 10%%3=1"
"2. x <- c(1,2,3,4,5,6,7)에서 결과가 4 5 6 7이 되도록 []를 채우시오.","정답: x[x >= 4]"
"3. x <- 3, y <- 5 일 때 (x < 4) & (y < 4)의 결과는?","정답: FALSE<br>해설: TRUE & FALSE = FALSE."
"4. 반복문으로 1~100 합을 구하는 R 코드를 작성하시오.","정답 예시:<br><code>s <- 0; for(i in 1:100){ s <- s + i }; s</code><br>결과: 5050"
"5. 주어진 12개 값에서 50 이상/50 미만 개수를 구하시오.","정답: 50 이상 10개, 50 미만 2개<br>해설: length(v[v>=50]), length(v[v<50])."
"6. 고수준 그래프 함수와 저수준 그래프 함수를 설명하시오.","정답: 고수준은 그래프 틀을 한 번에 생성(plot, barplot, hist 등), 저수준은 이미 생성된 그래프에 요소를 추가(lines, points, text 등)."
"7. par() 함수의 역할을 설명하시오.","정답: 그래픽 파라미터 설정 함수. 레이아웃(mfrow), 여백(mar), 글자 크기(cex), 색(col) 등을 제어한다."
"8. 세계 스마트폰 판매 현황 값으로 막대그래프를 작성하시오.","정답 코드 예시:<br><code>barplot(quantities, names.arg=manufacturers, main='세계 스마트폰 판매 현황', col='skyblue', ylab='수량')</code><br><b>오류 보정:</b> 원문 데이터는 Samsung=2090, 나머지는 소수 비율(0.xxx)로 단위가 혼합되어 그래프 왜곡이 발생한다. 비교를 위해서는 단위를 통일(예: 0.209,0.158,...)해야 한다."
"9. 같은 값으로 선그래프를 작성하시오.","정답 코드 예시:<br><code>plot(quantities, type='o', col='red', xaxt='n', main='세계 스마트폰 판매 현황', xlab='제조사', ylab='수량'); axis(1, at=1:6, labels=manufacturers)</code><br>해설: x축 라벨을 수동 지정한다."
"10. 같은 값으로 파이차트를 작성하시오.","정답 코드 예시:<br><code>pie(quantities, labels=manufacturers, main='세계 스마트폰 판매 현황', col=rainbow(length(quantities)))</code><br>해설: 범주 비중을 직관적으로 보여준다."
"1. data.csv를 읽어 data 데이터프레임을 생성하시오.","정답: data <- read.csv('data.csv', header=TRUE)"
"2. 품질+가격+서비스+배송 합계 변수를 추가하시오.","정답: data$합계 <- data$품질 + data$가격 + data$서비스 + data$배송<br>해설: 열 단위 벡터 연산으로 행별 합계가 계산된다."
"3. 거주지역(대도시/중도시/소도시)별로 데이터프레임 3개를 생성하시오.","정답:<br>dataSmallCity <- data[data$주거지역=='소도시', ]<br>dataMiddleCity <- data[data$주거지역=='중도시', ]<br>dataBigCity <- data[data$주거지역=='대도시', ]"
"4. 품질/가격/서비스/배송만으로 신규 데이터프레임을 만드시오.","정답: dataGen04 <- data.frame(품질=data$품질, 가격=data$가격, 서비스=data$서비스, 배송=data$배송)"
"5. 3번의 3개 데이터프레임을 하나로 결합하시오.","정답: dataMerged <- rbind(dataSmallCity, dataMiddleCity, dataBigCity)"
"6. 결합 데이터프레임을 소득 내림차순 정렬하시오.","정답: dataMerged <- dataMerged[order(-dataMerged$소득), ]"
"7. apply()로 품질/가격/서비스/배송 평균을 구하시오.","정답 코드: apply(data[, c('품질','가격','서비스','배송')], 2, mean)<br>결과: 품질 5.422222, 가격 4.744444, 서비스 4.900000, 배송 4.455556"
"8. 공공데이터포털 무료 와이파이 자료를 수집하시오.","정답 요점:<br>데이터셋: 행정안전부_무료와이파이정보 CSV 수집 후 지역별 건수 집계.<br>핵심 코드: read.csv() + dplyr::group_by(설치시도명) + summarise(n())."
"9. 네이버 블로그 '맛집' 검색 첫 화면 웹 스크래핑을 수행하시오.","정답 요점:<br>검색 URL 접속 후 제목/링크 추출.<br>핵심 코드: chromote로 렌더 HTML 획득, rvest::html_elements로 title/href 파싱, data.frame으로 정리."
"10. 국토교통부 실거래가 오픈API로 2021-01 서울 강남구 아파트 매매 자료를 수집하시오.","정답 요점:<br>엔드포인트에 serviceKey, LAWD_CD=11680, DEAL_YMD=202101 쿼리 전송 후 응답 파싱.<br>핵심 코드: httr::GET + content() + jsonlite::fromJSON()."
"1. 기술통계 기법인 빈도분석, 기술 분석, 교차분석, 다차원 척도법에 대하여 설명하시오.","정답 요약:<br>• 빈도분석: 값의 출현 횟수로 분포를 파악하는 방법<br>• 기술분석: 평균, 분산, 표준편차, 왜도, 첨도 등으로 데이터를 요약<br>• 교차분석: 두 개 이상 범주형 변수의 관계를 교차표로 확인<br>• 다차원 척도법(MDS): 객체 간 유사성/비유사성을 저차원 공간 점으로 시각화<br><br>해설: 네 기법은 각각 빈도, 요약통계, 변수 간 관계, 거리 기반 구조 파악이라는 목적이 다르다."
"2. 자료를 구분하는 명목척도, 서열척도, 등간척도, 비율척도에 대하여 설명하시오.","정답 요약:<br>• 명목척도: 분류만 가능(예: 성별, 혈액형)<br>• 서열척도: 순위 비교 가능, 간격 동일성은 불명(예: 만족도 등급)<br>• 등간척도: 간격은 동일, 절대 0 없음(예: 섭씨온도, IQ)<br>• 비율척도: 절대 0 존재, 사칙연산 의미 있음(예: 키, 몸무게, 소득, 쇼핑액)<br><br>해설: 허용되는 연산 범위가 명목→서열→등간→비율 순으로 확장된다."
"3. data.csv를 불러와 데이터프레임 data를 만들고, 성별·연령대·직업·주거지역에 대해 descr 패키지 빈도분석을 수행하여 빈도표와 막대그래프를 작성하시오.","정답(코드):<br><code>data <- read.csv(\"data.csv\")</code><br><code>freq_vars <- c(\"성별\", \"연령대\", \"직업\", \"주거지역\")</code><br><code>for (v in freq_vars) { freq(data[[v]], plot=TRUE, main=paste(v, \"분포\")) }</code><br><br>해설: 각 범주형 변수별로 빈도표와 막대그래프를 생성해 분포를 비교한다. 렌더 결과(성별/연령대/직업/주거지역 분포 그래프)와 일치하면 정답이다."
"4. data의 쇼핑액 변수에 대해 psych 패키지 기술분석을 수행하여 표본 수, 평균, 표준편차, 중앙값, 최솟값, 최댓값, 범위, 왜도, 첨도, 표준오차를 산출하시오.","정답(요약 통계): n=90, mean=174.2, sd=35.46, median=172.8, min=80.4, max=244.8, range=164.4, skew=-0.26, kurtosis=-0.01, se=3.74<br><br>정답(코드):<br><code>shopping_desc <- psych::describe(data$쇼핑액)</code><br><code>print(shopping_desc)</code><br><br>해설: 해당 값들이 보고서 표와 일치하면 된다."
"5. data를 이용해 교차분석을 수행하고, 성별(행) × 연령대(열) 교차빈도표를 작성하시오.","정답 핵심 교차빈도(N):<br>남자: 25-29세 4, 30-34세 9, 35-39세 4, 40-44세 5, 45-49세 10, 50세 이상 23 (합계 55)<br>여자: 25-29세 2, 30-34세 2, 35-39세 3, 40-44세 6, 45-49세 14, 50세 이상 8 (합계 35)<br>열 합계: 6, 11, 7, 11, 24, 31 (총 90)<br><br>정답(코드):<br><code>CrossTable(data$성별, data$연령대)</code><br><br>해설: 보고서의 행비율/열비율/전체비율까지 함께 제시하면 완전한 답안이다."
"6. data의 사번 변수에 대하여 쇼핑1월·쇼핑2월·쇼핑3월 변수를 이용한 다차원 분석을 수행하고 그래프를 작성하시오.","정답(코드):<br><code>mds_data <- data[, c(\"쇼핑1월\", \"쇼핑2월\", \"쇼핑3월\")]</code><br><code>dist_matrix <- dist(mds_data)</code><br><code>mds_fit <- cmdscale(dist_matrix)</code><br><code>plot(mds_fit, pch=19, col=\"blue\")</code><br><code>text(mds_fit, labels=data$사번, cex=0.7)</code><br><br>해설: 쇼핑 패턴 유사 고객은 좌표상 가깝게 나타난다. 사번 라벨은 점 식별용이다."
"7. data를 이용한 그룹 분석으로 연령대별 평균 이용만족도 점수를 산출하시오.","정답(연령대별 평균 이용만족도):<br>25-29세 5.333333, 30-34세 4.818182, 35-39세 5.428571, 40-44세 5.090909, 45-49세 5.250000, 50세 이상 5.451613<br><br>정답(코드):<br><code>aggregate(이용만족도 ~ 연령대, data=data, mean)</code><br><br>해설: 50세 이상 집단의 평균이 가장 높고 30-34세가 가장 낮다."
"8. 쇼핑액을 round()로 소수점 제거 후 박스플롯을 작성하고 해석하시오.","정답(코드):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>boxplot(data$쇼핑액_round, main=\"쇼핑액 박스 플롯\", ylab=\"쇼핑액\")</code><br><br>해설: 중앙값과 사분위 범위를 통해 중심과 산포를 확인하고, 수염 밖 점은 이상치 가능성을 시사한다."
"9. 쇼핑액을 round()로 소수점 제거 후 줄기-잎 도표를 작성하고 해석하시오.","정답(보정 코드 포함):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>stem(data$쇼핑액_round)</code><br><br>정답(요약): 값이 160~190대 구간에 상대적으로 많이 분포하고, 80대 저값 관측치가 소수 존재한다.<br><br>해설: 보고서 출력과 동일한 줄기-잎 패턴이면 정답이다. 독립 실행 관점에서는 round 변수 생성을 먼저 해야 한다."
"10. 쇼핑액을 round()로 소수점 제거 후 Q-Q Plot을 작성하고 해석하시오.","정답(보정 코드 포함):<br><code>data$쇼핑액_round <- round(data$쇼핑액)</code><br><code>qqnorm(data$쇼핑액_round)</code><br><code>qqline(data$쇼핑액_round, col=\"red\")</code><br><br>해설: 점들이 기준선 주변에 대체로 놓이면 정규성에 크게 위배되지 않는 것으로 본다. 양끝에서 벗어남이 크면 꼬리 비정규 가능성을 의심한다."
